地区,年份,考生类别,批次,分数线
北京,2016,理科,本科一批,548
北京,2016,理科,本科二批,494
北京,2016,理科,本科三批,438
北京,2016,理科,专科一批,150
北京,2016,文科,本科一批,583
北京,2016,文科,本科二批,532
北京,2016,文科,本科三批,488
北京,2016,文科,专科一批,150
天津,2016,理科,本科一批,512
天津,2016,理科,本科二批,424
天津,2016,理科,本科三批,336
天津,2016,文科,本科一批,532
天津,2016,文科,本科二批,460
天津,2016,文科,本科三批,320
河北,2016,理科,本科一批,525
河北,2016,理科,本科二批,364
河北,2016,理科,专科一批,200
河北,2016,文科,本科一批,535
河北,2016,文科,本科二批,416
河北,2016,文科,专科一批,200
河南,2016,理科,本科一批,523
河南,2016,理科,本科二批,447
河南,2016,理科,本科三批,370
河南,2016,理科,专科一批,180
河南,2016,文科,本科一批,517
河南,2016,文科,本科二批,458
河南,2016,文科,本科三批,393
河南,2016,文科,专科一批,180
山东,2016,理科,本科一批,537
山东,2016,理科,本科二批,451
山东,2016,理科,专科一批,170
山东,2016,文科,本科一批,530
山东,2016,文科,本科二批,474
山东,2016,文科,专科一批,170
山西,2016,理科,本科一批,519
山西,2016,理科,本科二批,438
山西,2016,理科,专科一批,150
山西,2016,文科,本科一批,518
山西,2016,文科,本科二批,460
山西,2016,文科,专科一批,150
陕西,2016,理科,本科一批,470
陕西,2016,理科,本科二批,423
陕西,2016,理科,本科三批,344
陕西,2016,理科,专科一批,200
陕西,2016,文科,本科一批,511
陕西,2016,文科,本科二批,460
陕西,2016,文科,本科三批,381
陕西,2016,文科,专科一批,225
内蒙古,2016,理科,本科一批,484
内蒙古,2016,理科,本科二批,346
内蒙古,2016,理科,专科一批,160
内蒙古,2016,文科,本科一批,477
内蒙古,2016,文科,本科二批,375
内蒙古,2016,文科,专科一批,160
辽宁,2016,理科,本科一批,498
辽宁,2016,理科,本科二批,373
辽宁,2016,理科,专科一批,180
辽宁,2016,文科,本科一批,525
辽宁,2016,文科,本科二批,417
辽宁,2016,文科,专科一批,180
吉林,2016,理科,本科一批,530
吉林,2016,理科,本科二批,402
吉林,2016,理科,本科三批,286
吉林,2016,理科,专科一批,150
吉林,2016,文科,本科一批,531
吉林,2016,文科,本科二批,413
吉林,2016,文科,本科三批,275
吉林,2016,文科,专科一批,150
黑龙江,2016,理科,本科一批,486
黑龙江,2016,理科,本科二批,369
黑龙江,2016,理科,本科三批,309
黑龙江,2016,理科,专科一批,160
黑龙江,2016,文科,本科一批,481
黑龙江,2016,文科,本科二批,401
黑龙江,2016,文科,本科三批,322
黑龙江,2016,文科,专科一批,160
上海,2016,理科,本科一批,360
上海,2016,理科,专科一批,229
上海,2016,文科,本科一批,368
上海,2016,文科,专科一批,165
江苏,2016,理科,本科一批,353
江苏,2016,理科,本科二批,315
江苏,2016,理科,本科三批,265
江苏,2016,理科,专科一批,210
江苏,2016,文科,本科一批,355
江苏,2016,文科,本科二批,325
江苏,2016,文科,本科三批,282
