地区,年份,考生类别,批次,分数线
北京,2017,理科,本科一批,537
北京,2017,理科,本科二批,439
北京,2017,理科,专科批,150
北京,2017,文科,本科一批,555
北京,2017,文科,本科二批,468
北京,2017,文科,专科批,150
天津,2017,理科,本科一批,521
天津,2017,理科,本科二批,395
天津,2017,文科,本科一批,531
天津,2017,文科,本科二批,401
河北,2017,理科,本科一批,485
河北,2017,理科,本科二批,326
河北,2017,理科,专科批,200
河北,2017,文科,本科一批,517
河北,2017,文科,本科二批,395
河北,2017,文科,专科批,200
河南,2017,理科,本科一批,484
河南,2017,理科,本科二批,342
河南,2017,理科,专科批,180
河南,2017,文科,本科一批,516
河南,2017,文科,本科二批,389
河南,2017,文科,专科批,180
山东,2017,理科,本科批,433
山东,2017,理科,专科批,170
山东,2017,文科,本科批,483
山东,2017,文科,专科批,170
山西,2017,理科,本科一批,481
山西,2017,理科,本科二批,400
山西,2017,理科,专科批,130
山西,2017,文科,本科一批,518
山西,2017,文科,本科二批,452
山西,2017,文科,专科批,130
陕西,2017,理科,本科一批,449
陕西,2017,理科,本科二批,397
陕西,2017,理科,本科三批,301
陕西,2017,理科,专科批,150
陕西,2017,文科,本科一批,509
陕西,2017,文科,本科二批,457
陕西,2017,文科,本科三批,334
陕西,2017,文科,专科批,150
内蒙古,2017,理科,本科一批,466
内蒙古,2017,理科,本科二批,328
内蒙古,2017,理科,专科批,160
内蒙古,2017,文科,本科一批,472
内蒙古,2017,文科,本科二批,375
内蒙古,2017,文科,专科批,160
辽宁,2017,理科,本科一批,480
辽宁,2017,理科,本科二批,350
辽宁,2017,理科,专科批,180
辽宁,2017,文科,本科一批,532
辽宁,2017,文科,本科二批,428
辽宁,2017,文科,专科批,180
吉林,2017,理科,本科一批,507
吉林,2017,理科,本科二批,379
吉林,2017,理科,本科三批,260
吉林,2017,理科,专科批,150
吉林,2017,文科,本科一批,528
吉林,2017,文科,本科二批,412
吉林,2017,文科,本科三批,286
吉林,2017,文科,专科批,150
黑龙江,2017,理科,本科一批,455
黑龙江,2017,理科,本科二批,335
黑龙江,2017,理科,本科三批,264
黑龙江,2017,理科,专科批,160
黑龙江,2017,文科,本科一批,481
黑龙江,2017,文科,本科二批,400
黑龙江,2017,文科,本科三批,291
黑龙江,2017,文科,专科批,160
上海,2017,综合,本科批,402
江苏,2017,理科,本科一批,331
江苏,2017,理科,本科二批,269
江苏,2017,理科,专科批,233
江苏,2017,文科,本科一批,333
江苏,2017,文科,本科二批,281
江苏,2017,文科,专科批,209
安徽,2017,理科,本科一批,487
安徽,2017,理科,本科二批,413
安徽,2017,理科,专科批,200
安徽,2017,文科,本科一批,515
安徽,2017,文科,本科二批,440
安徽,2017,文科,专科批,200
江西,2017,理科,本科一批,503
江西,2017,理科,本科二批,422
江西,2017,理科,专科批,180
江西,2017,文科,本科一批,533
江西,2017,文科,本科二批,458
江西,2017,文科,专科批,180
湖北,2017,理科,本科一批,484
湖北,2017,理科,本科二批,345
湖北,2017,理科,专科批,200
湖北,2017,文科,本科一批,528
湖北,2017,文科,本科二批,406
湖北,2017,文科,专科批,200
湖南,2017,理科,本科一批,505
湖南,2017,理科,本科二批,424
湖南,2017,理科,本科三批,383
湖南,2017,理科,专科批,200
湖南,2017,文科,本科一批,548
湖南,2017,文科,本科二批,485
湖南,2017,文科,本科三批,441
